Company,Day,Stock Exchange,Total Messages,Negative Messages,Neutral Messages,Positive Messages
niiio finance group AG,2018-02-08,GERMAN STOCK EXCHANGE,3,0,3,0
pSivida Corp,2018-02-06,GERMAN STOCK EXCHANGE,3,0,1,2
3D Systems Corp,2018-02-06,GERMAN STOCK EXCHANGE,2,0,0,2
AIA Group Ltd,2018-02-05,GERMAN STOCK EXCHANGE,2,0,2,0
AT & S,2018-02-03,GERMAN STOCK EXCHANGE,2,0,2,0
AT & S,2018-02-06,GERMAN STOCK EXCHANGE,2,0,2,0
AXA,2018-02-04,GERMAN STOCK EXCHANGE,2,0,0,2
Aareal Bank AG,2018-02-06,GERMAN STOCK EXCHANGE,2,0,0,2
Admiral Group Plc,2018-02-02,GERMAN STOCK EXCHANGE,2,0,2,0
Aegon NV,2018-02-03,GERMAN STOCK EXCHANGE,2,1,0,1
AgBank,2018-02-04,GERMAN STOCK EXCHANGE,2,2,0,0
Ageas SA/NV,2018-02-06,GERMAN STOCK EXCHANGE,2,0,2,0
Aixtron SE,2018-02-04,GERMAN STOCK EXCHANGE,2,0,0,2
Aixtron SE,2018-02-07,GERMAN STOCK EXCHANGE,2,0,0,2
Aixtron SE,2018-02-08,GERMAN STOCK EXCHANGE,2,0,0,2
Assicurazioni Generali,2018-02-03,GERMAN STOCK EXCHANGE,2,0,2,0
Aurelius Equity,2018-02-07,GERMAN STOCK EXCHANGE,2,0,0,2
Aurelius Equity,2018-02-08,GERMAN STOCK EXCHANGE,2,0,0,2
BB Biotech AG,2018-02-02,GERMAN STOCK EXCHANGE,2,0,0,2
BOCHK,2018-02-07,GERMAN STOCK EXCHANGE,2,0,1,1
Baloise Holding Ag,2018-02-02,GERMAN STOCK EXCHANGE,2,0,2,0
Banco Popular Espanol SA,2018-02-06,GERMAN STOCK EXCHANGE,2,0,0,2
Bank of China Ltd,2018-02-04,GERMAN STOCK EXCHANGE,2,0,2,0
Bankia SA,2018-02-02,GERMAN STOCK EXCHANGE,2,0,2,0
Bankia SA,2018-02-03,GERMAN STOCK EXCHANGE,2,1,1,0
Basler AG,2018-02-08,GERMAN STOCK EXCHANGE,2,0,0,2
Bechtle AG,2018-02-03,GERMAN STOCK EXCHANGE,2,0,1,1
Bechtle AG,2018-02-04,GERMAN STOCK EXCHANGE,2,2,0,0
Bechtle AG,2018-02-06,GERMAN STOCK EXCHANGE,2,0,1,1
Biotest AG,2018-02-05,GERMAN STOCK EXCHANGE,2,0,2,0
Carl Zeiss Meditec AG,2018-02-02,GERMAN STOCK EXCHANGE,2,0,0,2
Carl Zeiss Meditec AG,2018-02-06,GERMAN STOCK EXCHANGE,2,0,1,1
China Life Insurance (TW),2018-02-08,GERMAN STOCK EXCHANGE,2,1,1,0
China Telecom Corp Ltd,2018-02-06,GERMAN STOCK EXCHANGE,2,0,1,1
China Unicom (Hong Kong),2018-02-04,GERMAN STOCK EXCHANGE,2,2,0,0
Comdirect Bank AG,2018-02-02,GERMAN STOCK EXCHANGE,2,0,1,1
CompuGroup Medical AG,2018-02-07,GERMAN STOCK EXCHANGE,2,0,2,0
Dialog Semiconductor Plc,2018-02-06,GERMAN STOCK EXCHANGE,2,0,1,1
Dialog Semiconductor Plc,2018-02-07,GERMAN STOCK EXCHANGE,2,0,2,0
Epigenomics AG,2018-02-05,GERMAN STOCK EXCHANGE,2,0,1,1
Ergomed Plc,2018-02-02,GERMAN STOCK EXCHANGE,2,0,1,1
Ergomed Plc,2018-02-06,GERMAN STOCK EXCHANGE,2,0,1,1
Freenet AG,2018-02-06,GERMAN STOCK EXCHANGE,2,0,2,0
Grenkeleasing AG,2018-02-02,GERMAN STOCK EXCHANGE,2,0,1,1
Hannover Rueck SE,2018-02-03,GERMAN STOCK EXCHANGE,2,0,2,0
Hannover Rueck SE,2018-02-05,GERMAN STOCK EXCHANGE,2,0,2,0
HolidayCheck Group AG,2018-02-06,GERMAN STOCK EXCHANGE,2,0,0,2
Identiv Inc,2018-02-03,GERMAN STOCK EXCHANGE,2,0,0,2
Jenoptik AG,2018-02-05,GERMAN STOCK EXCHANGE,2,0,2,0
Kontron AG,2018-02-02,GERMAN STOCK EXCHANGE,2,0,0,2
Kontron AG,2018-02-03,GERMAN STOCK EXCHANGE,2,0,2,0
Logitech International SA,2018-02-04,GERMAN STOCK EXCHANGE,2,0,0,2
Manz AG,2018-02-06,GERMAN STOCK EXCHANGE,2,0,2,0
Mars One Ventures AG,2018-02-05,GERMAN STOCK EXCHANGE,2,0,1,1
Maxwell Technologies,2018-02-05,GERMAN STOCK EXCHANGE,2,0,2,0
Meyer Burger,2018-02-05,GERMAN STOCK EXCHANGE,2,0,0,2
Mobileye NV,2018-02-06,GERMAN STOCK EXCHANGE,2,0,2,0
Mobileye NV,2018-02-08,GERMAN STOCK EXCHANGE,2,1,1,0
Mologen AG,2018-02-07,GERMAN STOCK EXCHANGE,2,0,0,2
MorphoSys AG,2018-02-05,GERMAN STOCK EXCHANGE,2,0,0,2
MorphoSys AG,2018-02-06,GERMAN STOCK EXCHANGE,2,0,1,1
NanoFocus AG,2018-02-06,GERMAN STOCK EXCHANGE,2,0,0,2
Nemetschek SE,2018-02-07,GERMAN STOCK EXCHANGE,2,0,2,0
Pfandbriefbank,2018-02-08,GERMAN STOCK EXCHANGE,2,0,2,0
Pixelworks Inc,2018-02-03,GERMAN STOCK EXCHANGE,2,0,0,2
Pixelworks Inc,2018-02-06,GERMAN STOCK EXCHANGE,2,0,0,2
Pixelworks Inc,2018-02-07,GERMAN STOCK EXCHANGE,2,1,1,0
Pixelworks Inc,2018-02-08,GERMAN STOCK EXCHANGE,2,0,2,0
Proximus SA,2018-02-07,GERMAN STOCK EXCHANGE,2,0,2,0
QSC AG,2018-02-02,GERMAN STOCK EXCHANGE,2,0,2,0
RIB Software AG,2018-02-03,GERMAN STOCK EXCHANGE,2,0,1,1
Rocket Internet SE,2018-02-04,GERMAN STOCK EXCHANGE,2,0,2,0
Rocket Internet SE,2018-02-07,GERMAN STOCK EXCHANGE,2,0,1,1
SMA Solar Technology AG,2018-02-03,GERMAN STOCK EXCHANGE,2,0,2,0
SMA Solar Technology AG,2018-02-05,GERMAN STOCK EXCHANGE,2,0,2,0
SNP Schneider-Neureither,2018-02-05,GERMAN STOCK EXCHANGE,2,0,0,2
Sartorius Stedim Biotech,2018-02-06,GERMAN STOCK EXCHANGE,2,0,1,1
Sirona Biochem Corp,2018-02-04,GERMAN STOCK EXCHANGE,2,0,2,0
Sirona Biochem Corp,2018-02-06,GERMAN STOCK EXCHANGE,2,0,2,0
Solarworld,2018-02-08,GERMAN STOCK EXCHANGE,2,0,1,1
Swiss Life Holding AG,2018-02-08,GERMAN STOCK EXCHANGE,2,1,1,0
Syzygy AG,2018-02-08,GERMAN STOCK EXCHANGE,2,0,2,0
Talanx AG,2018-02-03,GERMAN STOCK EXCHANGE,2,0,2,0
Tele Columbus,2018-02-03,GERMAN STOCK EXCHANGE,2,0,2,0
Telecom Italia,2018-02-02,GERMAN STOCK EXCHANGE,2,0,1,1
Telecom Italia,2018-02-05,GERMAN STOCK EXCHANGE,2,0,1,1
Telefonica Deutschland,2018-02-03,GERMAN STOCK EXCHANGE,2,0,1,1
Telekom Austria AG,2018-02-06,GERMAN STOCK EXCHANGE,2,0,1,1
Tivity Health Inc,2018-02-03,GERMAN STOCK EXCHANGE,2,0,1,1
Tivity Health Inc,2018-02-06,GERMAN STOCK EXCHANGE,2,0,1,1
True Leaf Medicine Intl,2018-02-03,GERMAN STOCK EXCHANGE,2,0,0,2
True Leaf Medicine Intl,2018-02-04,GERMAN STOCK EXCHANGE,2,0,0,2
True Leaf Medicine Intl,2018-02-05,GERMAN STOCK EXCHANGE,2,0,0,2
UMS AG,2018-02-02,GERMAN STOCK EXCHANGE,2,0,1,1
UNIQA Insurance Group AG,2018-02-03,GERMAN STOCK EXCHANGE,2,0,2,0
UniCredit SpA,2018-02-05,GERMAN STOCK EXCHANGE,2,2,0,0
Varta AG,2018-02-02,GERMAN STOCK EXCHANGE,2,0,0,2
Varta AG,2018-02-07,GERMAN STOCK EXCHANGE,2,0,0,2
Viscom AG,2018-02-08,GERMAN STOCK EXCHANGE,2,0,0,2
Xing AG,2018-02-06,GERMAN STOCK EXCHANGE,2,0,0,2
Yingli Green Ener,2018-02-02,GERMAN STOCK EXCHANGE,2,1,0,1
Yingli Green Ener,2018-02-03,GERMAN STOCK EXCHANGE,2,0,0,2
Zimtu Capital Corp,2018-02-07,GERMAN STOCK EXCHANGE,2,0,2,0
Zumtobel Group AG,2018-02-03,GERMAN STOCK EXCHANGE,2,0,2,0
Zumtobel Group AG,2018-02-06,GERMAN STOCK EXCHANGE,2,0,2,0
Zumtobel Group AG,2018-02-07,GERMAN STOCK EXCHANGE,2,0,2,0
Zurich Insurance Group AG,2018-02-03,GERMAN STOCK EXCHANGE,2,0,2,0
3D Systems Corp,2018-02-05,GERMAN STOCK EXCHANGE,1,0,0,1
ADVA AG Optical Networking,2018-02-05,GERMAN STOCK EXCHANGE,1,1,0,0
AIA Group Ltd,2018-02-02,GERMAN STOCK EXCHANGE,1,0,1,0
AT & S,2018-02-07,GERMAN STOCK EXCHANGE,1,0,1,0
Addex Therapeutics Ltd,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
Addex Therapeutics Ltd,2018-02-04,GERMAN STOCK EXCHANGE,1,0,1,0
Addex Therapeutics Ltd,2018-02-08,GERMAN STOCK EXCHANGE,1,0,1,0
Adesso AG,2018-02-05,GERMAN STOCK EXCHANGE,1,0,0,1
Admiral Group Plc,2018-02-05,GERMAN STOCK EXCHANGE,1,0,1,0
Admiral Group Plc,2018-02-06,GERMAN STOCK EXCHANGE,1,0,1,0
Aegon NV,2018-02-06,GERMAN STOCK EXCHANGE,1,1,0,0
AgBank,2018-02-05,GERMAN STOCK EXCHANGE,1,1,0,0
AgBank,2018-02-08,GERMAN STOCK EXCHANGE,1,0,0,1
Ageas SA/NV,2018-02-02,GERMAN STOCK EXCHANGE,1,0,1,0
Aixtron SE,2018-02-02,GERMAN STOCK EXCHANGE,1,0,0,1
Almirall SA,2018-02-06,GERMAN STOCK EXCHANGE,1,0,1,0
Apollo Enterprise Solns,2018-02-05,GERMAN STOCK EXCHANGE,1,0,1,0
Artec Technologies AG,2018-02-08,GERMAN STOCK EXCHANGE,1,0,1,0
Assicurazioni Generali,2018-02-02,GERMAN STOCK EXCHANGE,1,0,0,1
Assicurazioni Generali,2018-02-07,GERMAN STOCK EXCHANGE,1,0,0,1
Assicurazioni Generali,2018-02-08,GERMAN STOCK EXCHANGE,1,0,1,0
BB Biotech AG,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
BB Biotech AG,2018-02-06,GERMAN STOCK EXCHANGE,1,0,0,1
BBVA,2018-02-04,GERMAN STOCK EXCHANGE,1,0,1,0
BOCHK,2018-02-02,GERMAN STOCK EXCHANGE,1,0,0,1
Baader Bank AG,2018-02-08,GERMAN STOCK EXCHANGE,1,0,1,0
Basler AG,2018-02-02,GERMAN STOCK EXCHANGE,1,0,0,1
Bechtle AG,2018-02-02,GERMAN STOCK EXCHANGE,1,0,1,0
Biofrontera AG,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
Biotest AG,2018-02-07,GERMAN STOCK EXCHANGE,1,0,0,1
CSPC Pharmaceutical Group,2018-02-05,GERMAN STOCK EXCHANGE,1,0,0,1
CTI BioPharma Corp,2018-02-03,GERMAN STOCK EXCHANGE,1,0,0,1
CTI BioPharma Corp,2018-02-08,GERMAN STOCK EXCHANGE,1,0,0,1
Carl Zeiss Meditec AG,2018-02-07,GERMAN STOCK EXCHANGE,1,0,0,1
Celesio,2018-02-06,GERMAN STOCK EXCHANGE,1,0,0,1
Centrotherm Photovoltaics,2018-02-07,GERMAN STOCK EXCHANGE,1,0,1,0
China Pacific Insurance,2018-02-06,GERMAN STOCK EXCHANGE,1,0,0,1
China Pacific Insurance,2018-02-07,GERMAN STOCK EXCHANGE,1,0,0,1
China Pacific Insurance,2018-02-08,GERMAN STOCK EXCHANGE,1,0,1,0
China Telecom Corp Ltd,2018-02-07,GERMAN STOCK EXCHANGE,1,1,0,0
China Telecom Corp Ltd,2018-02-08,GERMAN STOCK EXCHANGE,1,0,1,0
Comdirect Bank AG,2018-02-07,GERMAN STOCK EXCHANGE,1,0,1,0
Comdirect Bank AG,2018-02-08,GERMAN STOCK EXCHANGE,1,0,0,1
Curasan AG,2018-02-04,GERMAN STOCK EXCHANGE,1,0,0,1
CytoTools AG,2018-02-07,GERMAN STOCK EXCHANGE,1,0,1,0
Draegerwerk AG & Co KGaA,2018-02-02,GERMAN STOCK EXCHANGE,1,0,0,1
Draegerwerk AG & Co KGaA,2018-02-05,GERMAN STOCK EXCHANGE,1,0,0,1
Elmos Semiconductor AG,2018-02-07,GERMAN STOCK EXCHANGE,1,1,0,0
Epigenomics AG,2018-02-02,GERMAN STOCK EXCHANGE,1,1,0,0
Epigenomics AG,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
Epigenomics AG,2018-02-04,GERMAN STOCK EXCHANGE,1,0,1,0
Epigenomics AG,2018-02-06,GERMAN STOCK EXCHANGE,1,0,1,0
Epigenomics AG,2018-02-08,GERMAN STOCK EXCHANGE,1,0,1,0
Ergomed Plc,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
Ergomed Plc,2018-02-04,GERMAN STOCK EXCHANGE,1,0,0,1
Ergomed Plc,2018-02-05,GERMAN STOCK EXCHANGE,1,0,0,1
Evotec AG,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
FRIWO,2018-02-07,GERMAN STOCK EXCHANGE,1,0,0,1
Fabasoft AG,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
FinTech Group AG,2018-02-03,GERMAN STOCK EXCHANGE,1,0,0,1
Finlab AG,2018-02-02,GERMAN STOCK EXCHANGE,1,0,0,1
First Sensor AG,2018-02-02,GERMAN STOCK EXCHANGE,1,0,0,1
First Sensor AG,2018-02-04,GERMAN STOCK EXCHANGE,1,1,0,0
First Sensor AG,2018-02-07,GERMAN STOCK EXCHANGE,1,0,0,1
Formycon AG,2018-02-02,GERMAN STOCK EXCHANGE,1,0,1,0
Formycon AG,2018-02-06,GERMAN STOCK EXCHANGE,1,0,0,1
Freenet AG,2018-02-02,GERMAN STOCK EXCHANGE,1,0,1,0
Freenet AG,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
Galenica AG,2018-02-07,GERMAN STOCK EXCHANGE,1,0,1,0
HAEMATO AG,2018-02-04,GERMAN STOCK EXCHANGE,1,0,0,1
Hannover Rueck SE,2018-02-04,GERMAN STOCK EXCHANGE,1,0,1,0
Indivior Plc,2018-02-05,GERMAN STOCK EXCHANGE,1,0,1,0
JA Solar Holdings Co Ltd,2018-02-06,GERMAN STOCK EXCHANGE,1,0,0,1
JDC Group AG,2018-02-02,GERMAN STOCK EXCHANGE,1,0,1,0
Jenoptik AG,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
Kapsch TrafficCom AG,2018-02-05,GERMAN STOCK EXCHANGE,1,0,0,1
Kapsch TrafficCom AG,2018-02-07,GERMAN STOCK EXCHANGE,1,0,0,1
Kontron AG,2018-02-04,GERMAN STOCK EXCHANGE,1,0,0,1
Kontron AG,2018-02-05,GERMAN STOCK EXCHANGE,1,0,1,0
Kontron AG,2018-02-07,GERMAN STOCK EXCHANGE,1,0,1,0
LS Telcom AG,2018-02-05,GERMAN STOCK EXCHANGE,1,0,0,1
LS Telcom AG,2018-02-06,GERMAN STOCK EXCHANGE,1,0,1,0
Lion E-Mobility AG,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
MPC Muenchmeyer Petersen,2018-02-08,GERMAN STOCK EXCHANGE,1,0,1,0
Manz AG,2018-02-05,GERMAN STOCK EXCHANGE,1,1,0,0
Mapfre SA,2018-02-06,GERMAN STOCK EXCHANGE,1,0,1,0
Maxwell Technologies,2018-02-06,GERMAN STOCK EXCHANGE,1,0,0,1
Mediclin AG,2018-02-02,GERMAN STOCK EXCHANGE,1,1,0,0
Medigene AG,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
Meyer Burger,2018-02-02,GERMAN STOCK EXCHANGE,1,0,0,1
Mobileye NV,2018-02-05,GERMAN STOCK EXCHANGE,1,0,1,0
Mologen AG,2018-02-02,GERMAN STOCK EXCHANGE,1,0,1,0
MorphoSys AG,2018-02-07,GERMAN STOCK EXCHANGE,1,0,0,1
MyBucks SA,2018-02-05,GERMAN STOCK EXCHANGE,1,0,0,1
Nemetschek SE,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
Nemetschek SE,2018-02-06,GERMAN STOCK EXCHANGE,1,0,0,1
Nexus AG,2018-02-02,GERMAN STOCK EXCHANGE,1,0,1,0
Nexus AG,2018-02-05,GERMAN STOCK EXCHANGE,1,0,1,0
Nippon Telegraph,2018-02-02,GERMAN STOCK EXCHANGE,1,0,1,0
Nippon Telegraph,2018-02-07,GERMAN STOCK EXCHANGE,1,0,1,0
Nuance Inc,2018-02-04,GERMAN STOCK EXCHANGE,1,0,1,0
OncoGenex Pharma,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
OncoGenex Pharma,2018-02-05,GERMAN STOCK EXCHANGE,1,0,1,0
OncoGenex Pharma,2018-02-07,GERMAN STOCK EXCHANGE,1,0,1,0
Opera Software ASA,2018-02-02,GERMAN STOCK EXCHANGE,1,0,0,1
Opera Software ASA,2018-02-05,GERMAN STOCK EXCHANGE,1,0,0,1
Orange Belgium SA,2018-02-02,GERMAN STOCK EXCHANGE,1,0,1,0
Organovo Holdings,2018-02-04,GERMAN STOCK EXCHANGE,1,0,0,1
Paion AG,2018-02-08,GERMAN STOCK EXCHANGE,1,0,1,0
Pfandbriefbank,2018-02-05,GERMAN STOCK EXCHANGE,1,0,1,0
Pfandbriefbank,2018-02-06,GERMAN STOCK EXCHANGE,1,0,1,0
Pixelworks Inc,2018-02-04,GERMAN STOCK EXCHANGE,1,0,0,1
Plan Optik AG,2018-02-02,GERMAN STOCK EXCHANGE,1,0,0,1
Proximus SA,2018-02-06,GERMAN STOCK EXCHANGE,1,0,0,1
QSC AG,2018-02-05,GERMAN STOCK EXCHANGE,1,0,1,0
QSC AG,2018-02-06,GERMAN STOCK EXCHANGE,1,0,1,0
QSC AG,2018-02-07,GERMAN STOCK EXCHANGE,1,0,1,0
QSC AG,2018-02-08,GERMAN STOCK EXCHANGE,1,0,1,0
REC Silicon ASA,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
REC Silicon ASA,2018-02-05,GERMAN STOCK EXCHANGE,1,1,0,0
REC Silicon ASA,2018-02-06,GERMAN STOCK EXCHANGE,1,1,0,0
REC Silicon ASA,2018-02-07,GERMAN STOCK EXCHANGE,1,0,1,0
RIB Software AG,2018-02-02,GERMAN STOCK EXCHANGE,1,0,1,0
RIB Software AG,2018-02-06,GERMAN STOCK EXCHANGE,1,0,1,0
Raiffeisen Bank,2018-02-02,GERMAN STOCK EXCHANGE,1,1,0,0
ReneSola Ltd,2018-02-02,GERMAN STOCK EXCHANGE,1,0,1,0
ReneSola Ltd,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
ReneSola Ltd,2018-02-04,GERMAN STOCK EXCHANGE,1,0,1,0
ReneSola Ltd,2018-02-05,GERMAN STOCK EXCHANGE,1,0,0,1
ReneSola Ltd,2018-02-06,GERMAN STOCK EXCHANGE,1,0,1,0
ReneSola Ltd,2018-02-07,GERMAN STOCK EXCHANGE,1,0,1,0
ReneSola Ltd,2018-02-08,GERMAN STOCK EXCHANGE,1,0,1,0
Rhoen Klinikum AG,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
Rocket Internet SE,2018-02-02,GERMAN STOCK EXCHANGE,1,0,0,1
Rocket Internet SE,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
Rocket Internet SE,2018-02-08,GERMAN STOCK EXCHANGE,1,0,1,0
S&T AG,2018-02-02,GERMAN STOCK EXCHANGE,1,0,0,1
Sartorius Stedim Biotech,2018-02-04,GERMAN STOCK EXCHANGE,1,0,1,0
Sberbank of Russia PJSC,2018-02-02,GERMAN STOCK EXCHANGE,1,0,1,0
Scout24 AG,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
Scout24 AG,2018-02-05,GERMAN STOCK EXCHANGE,1,0,1,0
Scout24 AG,2018-02-07,GERMAN STOCK EXCHANGE,1,0,1,0
Secunet Security Networks,2018-02-06,GERMAN STOCK EXCHANGE,1,0,1,0
Sirona Biochem Corp,2018-02-05,GERMAN STOCK EXCHANGE,1,0,1,0
Sirona Biochem Corp,2018-02-07,GERMAN STOCK EXCHANGE,1,0,1,0
Solarworld,2018-02-02,GERMAN STOCK EXCHANGE,1,0,0,1
Solarworld,2018-02-05,GERMAN STOCK EXCHANGE,1,0,1,0
Solocal Group,2018-02-05,GERMAN STOCK EXCHANGE,1,1,0,0
Sonova Holding AG,2018-02-05,GERMAN STOCK EXCHANGE,1,0,0,1
Stada Arzneimittel AG,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
Stada Arzneimittel AG,2018-02-04,GERMAN STOCK EXCHANGE,1,0,1,0
Stada Arzneimittel AG,2018-02-07,GERMAN STOCK EXCHANGE,1,0,1,0
Suess MicroTec AG,2018-02-05,GERMAN STOCK EXCHANGE,1,0,0,1
Suess MicroTec AG,2018-02-06,GERMAN STOCK EXCHANGE,1,0,1,0
Suess MicroTec AG,2018-02-07,GERMAN STOCK EXCHANGE,1,0,1,0
Suess MicroTec AG,2018-02-08,GERMAN STOCK EXCHANGE,1,0,1,0
Swiss Life Holding AG,2018-02-06,GERMAN STOCK EXCHANGE,1,0,1,0
Syzygy AG,2018-02-02,GERMAN STOCK EXCHANGE,1,1,0,0
Syzygy AG,2018-02-07,GERMAN STOCK EXCHANGE,1,0,0,1
Talanx AG,2018-02-02,GERMAN STOCK EXCHANGE,1,0,1,0
Talanx AG,2018-02-05,GERMAN STOCK EXCHANGE,1,0,1,0
Tele Columbus,2018-02-02,GERMAN STOCK EXCHANGE,1,0,1,0
Tele Columbus,2018-02-08,GERMAN STOCK EXCHANGE,1,0,1,0
Telekom Austria AG,2018-02-08,GERMAN STOCK EXCHANGE,1,0,0,1
Tivity Health Inc,2018-02-02,GERMAN STOCK EXCHANGE,1,0,1,0
True Leaf Medicine Intl,2018-02-02,GERMAN STOCK EXCHANGE,1,0,0,1
True Leaf Medicine Intl,2018-02-06,GERMAN STOCK EXCHANGE,1,0,0,1
True Leaf Medicine Intl,2018-02-08,GERMAN STOCK EXCHANGE,1,0,0,1
UMS AG,2018-02-03,GERMAN STOCK EXCHANGE,1,0,1,0
UNIQA Insurance Group AG,2018-02-05,GERMAN STOCK EXCHANGE,1,0,1,0
UniCredit SpA,2018-02-04,GERMAN STOCK EXCHANGE,1,0,1,0
United Internet AG,2018-02-02,GERMAN STOCK EXCHANGE,1,0,0,1
United Internet AG,2018-02-03,GERMAN STOCK EXCHANGE,1,0,0,1
United Internet AG,2018-02-04,GERMAN STOCK EXCHANGE,1,0,0,1
Vienna Insurance Group AG,2018-02-05,GERMAN STOCK EXCHANGE,1,0,1,0
Vita 34 AG,2018-02-07,GERMAN STOCK EXCHANGE,1,0,1,0
ZTE Corp,2018-02-04,GERMAN STOCK EXCHANGE,1,0,0,1
mutares AG,2018-02-08,GERMAN STOCK EXCHANGE,1,0,0,1
pSivida Corp,2018-02-02,GERMAN STOCK EXCHANGE,1,0,1,0
